ID,Start time,Completion time,Email,Name,Last modified time,What is the first letter of your first name?,What school are you attending right now?,How is it?,Grade level?,Play any sports?,What college do you want to attend? For example: UF. Write none if not planning to attend a college.,Your favorite teacher?,What is your favorite food?,What is your favorite ice cream flavor?,And your favorite musical artist?,What about visual artists?,Do you eat school lunch or do you bring your own lunch?,Rank the subjects by your personal opinion and enjoyment of them.,GPA,Your main hobby?,How many friends do you have?,A teacher leaves the answer key on their desk and walks out. What do you do?,Your best friend is breaking a minor school rule (like wearing a hat). An admin asks you if they were. What do you do?,"Everyone in the world has to take a private vote by pressing a red or blue button.
If more than 50% of people press the BLUE button, everyone survives.If less than 50% of people press the BLUE but...",When does a ring become a tube?,Oh no! Your printer has malfunctioned on the due date of your project! What do you do?,"On a table, there is a live beetle, a live lizard, a live goldfish, a live rodent, and a live earwig. A strange man is forcing you to stuff one in your pocket in the morning and return the creatur..."
2,5/7/26 11:03:50,5/7/26 11:05:56,anonymous,,,M,SWHS,Good,10,No;,UF,Niehaus,Red curry,Cookie dough,Tame Impala,Pablo Picasso,School lunch,Math;Science;English;History;Foreign Language;Music;Art;,4-4.5,Programming,2,Warn the teacher about the answer key,Lie,Blue,When the height is the width or more,Ask a friend,All of them
3,5/7/26 11:35:08,5/7/26 11:38:23,anonymous,,,A,SWHS,Good,11,No;,None,Mr. Huskins,Porterhouse steak,Mint moose tracks,None,None,Own lunch,History;Math;Foreign Language;Science;English;Art;Music;,2.5-3,Website design,7,Look at it,Lie,Blue,When the height is double the width or more,Ask a friend,Lizard
4,5/7/26 11:49:00,5/7/26 11:56:47,anonymous,,,R,SWHS,Fair,11,Baseball;,I m not sure ,Don t have one,Steak,Cookies n cream,Don t have one,Idk,Own lunch,Science;English;History;Math;Foreign Language;Music;Art;,Prefer not to answer,Baseball,15,Don't look at it,Lie,Blue,When the height is half the width or more,Ask a friend,Goldfish
5,5/7/26 11:49:23,5/7/26 12:21:13,anonymous,,,G,SWHS,Fair,10,No;,Fsu ,Brown,Pototoe,Superman,Idk,Idk,School lunch,Science;History;Art;Math;English;Music;Foreign Language;,3-3.5,Gaming,5,Look at it,Lie,Red,When the height is double the width or more,Ask the teacher for an extension on the project,Rodent
6,5/7/26 13:45:10,5/7/26 13:48:06,anonymous,,,J,SWHS,Good,10,Basketball;,Houston,Coach martin,Japanese food,Cookies and cream,Drake,Idk,Own lunch,Science;History;English;Math;Art;Foreign Language;Music;,3.5-4,Basketball,10,Snatch it,Lie,Red,When the height is double the width or more,Ask the teacher for an extension on the project,All of them
7,5/7/26 14:46:48,5/7/26 14:53:43,anonymous,,,H,SWHS,Good,09,No;,None,Mr Mitchel ,Pizza,Vanilla,GoodKidBand,Gabby,Own lunch,Music;History;Art;Science;Foreign Language;English;Math;,2.5-3,Listening to music ,50,Look at it,Lie,Blue,When the height is the width or more,Ask the teacher for an extension on the project,Goldfish
9,5/7/26 14:53:48,5/7/26 14:56:12,anonymous,,,B,SWHS,Good,09,No;,Idk,Blud,The one you like,Vanilla ,Bbn$,67,School lunch,Foreign Language;Math;Music;English;Science;Art;History;,2.5-3,Games,5,Look at it,Falsely accuse your friend of something worse,Red,When the height is half the width or more,Go to a copy shop,All of them
10,5/7/26 14:54:38,5/7/26 14:58:08,anonymous,,,R,SWHS,Fair,09,No;,Fsu,Mrs behr,Raw milk,Chocolate ,Rebulation,Picasso ,School lunch,Science;History;English;Math;Music;Foreign Language;Art;,3-3.5,Fishing,0,Don't look at it,Falsely accuse your friend of something worse,Blue,When the height is double the width or more,Ask the teacher for an extension on the project,Goldfish
11,5/7/26 15:01:53,5/7/26 15:07:45,anonymous,,,T ,SWHS,Very good,09,Soccer;,University of FL,Ms.Bludworth,Lasagna ,Chocolate ,Bad bunny ,I don t have one ,School lunch,Math;Foreign Language;English;Art;Music;Science;History;,3-3.5,Play video games,10,Don't look at it,Tell the truth,Blue,When the height is half the width or more,Ask a friend,All of them
12,5/7/26 14:55:47,5/7/26 15:09:43,anonymous,,,F,MIC,Garbage,09,No;,IDK Yet,Ms. Meadows,Gumbo,Pistachio,Built To Spill,West Baton Rouge Art Musuem,Own lunch,Science;History;Music;Math;Foreign Language;English;Art;,4-4.5,Music,53,Don't look at it,Lie,Red,When the height is half the width or more,Ask the teacher for an extension on the project,Rodent
13,5/7/26 15:13:12,5/7/26 15:18:26,anonymous,,,M,SWHS,Good,09,No;,None,Mrs. Behr ,Burger,Vanilla,None,None,School lunch,Math;Foreign Language;History;English;Science;Art;Music;,3-3.5,Games,9,Warn the teacher about the answer key,Tell the truth,Blue,When the height is half the width or more,Go to a copy shop,Embrace uncertainty and flee
15,5/7/26 15:22:42,5/7/26 15:29:17,anonymous,,,K,MIC,Very good,09,No;,None,Ms.Connel,Burger,Vanilla ,Idk,Idk,School lunch,Science;Music;Foreign Language;History;English;Math;Art;,3-3.5,Video games,12,Look at it,Lie,Red,When the height is the width or more,Ask the teacher for an extension on the project,Lizard
16,5/7/26 15:19:16,5/7/26 15:30:07,anonymous,,,J,SWHS,Very good,11,No;,I don t know ,Kaiser,Pancakes ,Chocolate ,VoILa,Katy barry,Own lunch,Math;English;History;Science;Music;Foreign Language;Art;,Prefer not to answer,Going to the beach ,20,Don't look at it,Tell the truth,Blue,When the height is half the width or more,Ask a friend,Goldfish
17,5/7/26 15:21:38,5/7/26 15:34:45,anonymous,,,J,MIC,Very good,09,No;,FSU,Mr Libby ,Chicken Alfredo ,Cookie dough,STIM,Bob ross,School lunch,History;English;Music;Science;Math;Art;Foreign Language;,3.5-4,Archery,42,Don't look at it,Tell the truth,Red,When the height is the width or more,Ask a friend,Lizard
18,5/8/26 7:41:07,5/8/26 7:44:23,anonymous,,,M,SWHS,Fair,11,Football;,None,Ms ward ,Alfredo ,Cookie dough ,Zach Bryan ,Mmg,Own lunch,History;English;Math;Science;Art;Music;Foreign Language;,3-3.5,Golf,10,Snatch it,Tell the truth,Blue,When the height is double the width or more,Ask the teacher for an extension on the project,Goldfish
19,5/8/26 7:45:48,5/8/26 7:53:00,anonymous,,,A,SWHS,Fair,11,No;,Mississippi State University ,Chef Wright,sushi or steak,cookies and cream,Sleep token,dont have one,Own lunch,Art;Music;History;English;Science;Math;Foreign Language;,3-3.5,drawing,16,Don't look at it,Tell the truth,Red,When the height is double the width or more,Ask a friend,Rodent
20,5/8/26 7:43:00,5/8/26 7:54:26,anonymous,,,H,SWHS,Good,11,No;,None,Mrs. O Toole,Pizza,Vanilla ,Three days grace,None,Own lunch,History;Foreign Language;Math;Music;Science;English;Art;,2-2.5,Playing games,10,Don't look at it,Tell the truth,Red,When the height is double the width or more,Ask the teacher for an extension on the project,Lizard
21,5/8/26 8:05:30,5/8/26 8:08:06,anonymous,,,I,SWHS,Very good,10,Football;,Idk,Coach Rob,Fries,Chocolate ,Idk,Idk,School lunch,Science;Math;History;Foreign Language;English;Music;Art;,4-4.5,Gaming,10,Don't look at it,Lie,Blue,When the height is the width or more,Go to a copy shop,Goldfish
22,5/8/26 8:14:47,5/8/26 8:17:03,anonymous,,,G,SWHS,Very good,10,No;,I want to be Unemployed ,MS P,Steak ,Strawberry ,None ,None,School lunch,Math;Science;Art;English;Foreign Language;Music;History;,3.5-4,Work ,3,Look at it,Lie,Red,When the height is the width or more,Ask the teacher for an extension on the project,Embrace uncertainty and flee
23,5/8/26 8:12:04,5/8/26 8:19:02,anonymous,,,M,SWHS,Very good,11,No;,Unsure,Mrs. Ward,Crab,Lemon Sorbet,N/A,N/A,Own lunch,History;English;Science;Art;Music;Math;Foreign Language;,3-3.5,Video Games,10,Look at it,Lie,Blue,When the height is double the width or more,Go to a copy shop,Rodent
24,5/8/26 8:08:08,5/8/26 8:21:11,anonymous,,,I,SWHS,Fair,10,No;,UCF,Mr.Shursky,Pizza,Butter Pecan ,Billy Joel,Picasso,Own lunch,English;Art;Math;Music;Science;Foreign Language;History;,3.5-4,Gaming ,3,Don't look at it,Lie,Blue,When the height is double the width or more,Ask the teacher for an extension on the project,All of them
25,5/8/26 8:07:19,5/8/26 8:28:47,anonymous,,,J,SWHS,Fair,10,No;,LSU ,Mr Mitchell ,Sushi,Strawberry ,Pink Floyd ,Steven Spielberg ,Own lunch,Music;English;Math;Science;Art;Foreign Language;History;,Prefer not to answer,Band ,67,Snatch it,Falsely accuse your friend of something worse,Red,When the height is double the width or more,Unleash fury on the printer,All of them
27,5/8/26 9:18:12,5/8/26 9:25:28,anonymous,,,P,SWHS,Good,10,Soccer;,Nyu,Mrs kennet,??,Vanilla,My dad,My dad,School lunch,English;Science;Foreign Language;Music;Art;History;Math;,3.5-4,I like girls,0,Snatch it,Lie,Red,When the height is double the width or more,Ask a friend,Lizard
28,5/8/26 9:34:33,5/8/26 9:37:53,anonymous,,,S,SWHS,Very good,10,Soccer;,Cambridge University,Ms Kennet,Pizza,Birthday Cake,Morgan Wallen,Picasso,School lunch,Science;History;Math;Foreign Language;English;Music;Art;,4-4.5,Sports,7,Don't look at it,Lie,Red,When the height is double the width or more,Ask the teacher for an extension on the project,Goldfish
29,5/8/26 10:23:45,5/8/26 10:31:16,anonymous,,,T,SWHS,Good,10,No;,UF,Mitchell,Mashed Potatos,Chocolate,Van Halen,Jon Favereau,Own lunch,Science;Math;Music;English;History;Foreign Language;Art;,4-4.5,Tkd,5,Look at it,Lie,Red,When the height is double the width or more,Ask a friend,All of them
30,5/8/26 7:58:34,5/8/26 11:05:49,anonymous,,,I,SWHS,Garbage,10,Soccer;,Embry Riddle,Teacher Peterson,Sushi,Strawberry,The Clash,Piet Mondrian,Own lunch,Science;Math;History;Art;Music;Foreign Language;English;,4.5-5,Cycling,15,Don't look at it,Lie,Red,When the height is the width or more,Go to a copy shop,Embrace uncertainty and flee
32,5/8/26 12:56:24,5/8/26 13:00:37,anonymous,,,R,SWHS,Good,09,Football;,UT,Mr Mcenzie ,Burgers ,Chocolate ,Shaboozey ,No ,Own lunch,English;Science;Math;History;Foreign Language;Music;Art;,3.5-4,Football ,50,Don't look at it,Tell the truth,Blue,When the height is half the width or more,Ask a friend,Lizard
33,5/8/26 12:58:48,5/8/26 13:02:52,anonymous,,,J,SWHS,Fair,11,No;,None,Stevens ,Fettuccine Alfreado,Mint chocolate chip,Huey Lewis,Don t know any visual artists ,School lunch,English;History;Foreign Language;Science;Math;Art;Music;,3.5-4,Pass,13,Look at it,Lie,Red,When the height is double the width or more,Go to a copy shop,Lizard
34,5/8/26 12:57:33,5/8/26 13:04:26,anonymous,,,A,SWHS,Good,10,No;,LSU,ms bludworth,dumplings,chocolate,Lizzy mcalpine,idk,School lunch,English;Art;Music;History;Foreign Language;Math;Science;,3-3.5,guitar,4,Don't look at it,Lie,Red,When the height is double the width or more,Ask the teacher for an extension on the project,Lizard
35,5/8/26 13:00:13,5/8/26 13:07:16,anonymous,,,N,SWHS,Very good,10,Cricket;,NYC ,Niehaus ,Fries ,Chocolate ,Laufey,Myself,Own lunch,Art;History;English;Music;Foreign Language;Science;Math;,3-3.5,Sleeping,10,Warn the teacher about the answer key,Lie,Red,When the height is half the width or more,Ask a friend,Embrace uncertainty and flee
36,5/8/26 14:47:38,5/8/26 15:05:41,anonymous,,,R,SWHS,Good,11,No;,None,Ms. Erwin ,Rice with Chicken,Mango,Ivan Cornejo ,Frida Kahlo,School lunch,Foreign Language;English;Art;History;Math;Science;Music;,3-3.5,My main hobby is listening to music.,10,Look at it,Lie,Red,When the height is the width or more,Go to a copy shop,Goldfish
37,5/8/26 15:13:46,5/8/26 15:19:50,anonymous,,,A,SWHS,Fair,10,No;,none,Mckenzie ,french fries ,vainilla ,bic ,.,School lunch,Math;Science;Art;English;History;Foreign Language;Music;,3.5-4,study ,7,Don't look at it,Lie,Blue,When the height is double the width or more,Ask a friend,Lizard
38,5/11/26 7:31:39,5/11/26 7:35:13,anonymous,,,J,SWHS,Very good,10,No;,"Unsure, most likely UF",Mr Niehaus,Chicken Enchilada Soup,Cookies and Cream,A Tribe Called Quest,Unsure,School lunch,Music;History;English;Foreign Language;Math;Science;Art;,4-4.5,Listening to music,20,Don't look at it,Lie,Red,When the height is double the width or more,Ask a friend,Goldfish
39,5/11/26 7:44:07,5/11/26 7:49:32,anonymous,,,K,SWHS,Fair,11,No;,UF,Mr. Climer,Mexican,Lemon,Not sure,Not sure,Own lunch,History;English;Music;Math;Science;Art;Foreign Language;,3.5-4,Debate,140,Don't look at it,Lie,Blue,When the height is the width or more,Ask the teacher for an extension on the project,Lizard
40,5/11/26 7:46:54,5/11/26 7:53:28,anonymous,,,J,SWHS,Very good,10,Football;,Ucf,Clemens,Grouper,Vanilla,Tyler the creator,No clue,School lunch,History;Science;Math;English;Music;Art;Foreign Language;,3.5-4,Photography ,15,Don't look at it,Tell the truth,Red,When the height is double the width or more,Unleash fury on the printer,Lizard
41,5/11/26 9:33:51,5/11/26 9:47:02,anonymous,,,A,SWHS,Fair,11,Badminton;,FAU- USF,Mr mccown,Everything love food,Vanilla maybe cookies and cream,Tenkay,Nathan florence,School lunch,Music;Art;Science;Math;English;History;Foreign Language;,3.5-4,Surfing fishing and chillin with homies recently ,50,Look at it,Falsely accuse your friend of something worse,Red,When the height is double the width or more,Ask a friend,Lizard
42,5/11/26 11:24:34,5/11/26 11:28:51,anonymous,,,A,SWHS,Good,10,No;,FSU,Ms. Clements,Sushi,Mint Chocolate Chip,Sienna Spiro,Picasso,Own lunch,English;Math;Art;Music;Foreign Language;Science;History;,3.5-4,Art ,5,Warn the teacher about the answer key,Tell the truth,Red,When the height is the width or more,Ask a friend,Lizard
43,5/11/26 14:50:05,5/11/26 14:59:30,anonymous,,,H,MIC,Good,10,No;,FSU,Benson,Burger,Cookie,Myself,Not sure,Own lunch,Math;Science;Music;English;Art;Foreign Language;History;,4-4.5,Robotics,24,Don't look at it,Tell the truth,Red,When the height is double the width or more,Ask the teacher for an extension on the project,All of them
44,5/11/26 14:50:43,5/11/26 15:08:08,anonymous,,,A,SWHS,Fair,10,No;,SEU,Mrs Pilonieta,Meatballs,Vanilla,don t have one ,don t have one,School lunch,Foreign Language;Art;Music;History;English;Science;Math;,2.5-3,Play guitar,5,Don't look at it,Tell the truth,Blue,When the height is double the width or more,Go to a copy shop,Goldfish
45,5/12/26 7:37:47,5/12/26 7:40:08,anonymous,,,Z,SWHS,Fair,10,Lacrosse;,FSU,Niehaus,All,Oreo,King Von ,Picasso ,Own lunch,Math;History;Art;Science;English;Foreign Language;Music;,4-4.5,Sports cards ,67,Snatch it,Falsely accuse your friend of something worse,Red,When the height is double the width or more,Unleash fury on the printer,Goldfish
46,5/12/26 7:45:18,5/12/26 7:50:37,anonymous,,,V,SWHS,Fair,11,No;,"Maybe FSU, not sure yet",McCown ,Pizza ,Vanilla , .,.,Own lunch,History;Foreign Language;Art;Music;Math;English;Science;,4-4.5,.,5,Don't look at it,Tell the truth,Red,When the height is double the width or more,Ask the teacher for an extension on the project,Goldfish
47,5/12/26 7:46:34,5/12/26 7:53:25,anonymous,,,L,SWHS,Good,10,No;,UT,Mrs shroyer,Cava ,I don't like ice cream,Frank ocean,Idk,Own lunch,Science;Math;Foreign Language;History;Music;English;Art;,3.5-4,Pickleball,10,Warn the teacher about the answer key,Tell the truth,Red,When the height is the width or more,Ask a friend,Goldfish
48,5/12/26 7:45:32,5/12/26 7:58:20,anonymous,,,T,SWHS,Fair,11,No;,dont know,Mr. Climer,rice and bolgogi korean ribs,coffee,deftones or good kid,van gogh,School lunch,History;Music;Art;Science;Math;English;Foreign Language;,Prefer not to answer,"HEMA, or listening to music",0,Warn the teacher about the answer key,Lie,Red,When the height is the width or more,Go to a copy shop,Rodent
49,5/12/26 14:35:06,5/12/26 14:39:32,anonymous,,,D,SWHS,Good,09,Soccer;,Not sure yet,ms behr,mexican,chocolate cookie dough ,Drake,Picasso,School lunch,English;History;Science;Math;Foreign Language;Music;Art;,2.5-3,play soccer,0,Snatch it,Falsely accuse your friend of something worse,Red,When the height is double the width or more,Ask a friend,Goldfish
50,5/12/26 14:37:32,5/12/26 14:40:44,anonymous,,,T,SWHS,Fair,09,No;Cricket;,Nun,Ms Blub,Food,Cookies and cream,Tyler the creator,Tom pearl,School lunch,Science;Math;Foreign Language;History;Music;Art;English;,3-3.5,Playing games,24,Look at it,Lie,Red,When the height is double the width or more,Unleash fury on the printer,Goldfish
51,5/12/26 14:35:55,5/12/26 14:41:11,anonymous,,,L,SWHS,Fair,09,Football;,None,Coach Rob ,Chicken,Peanut butter with chocolate ,I don t really have one but I like meatal rap,I don t watch much,School lunch,Science;English;History;Foreign Language;Math;Music;Art;,3.5-4,Football,20,Look at it,Lie,Blue,When the height is the width or more,Ask the teacher for an extension on the project,Lizard
52,5/12/26 14:40:09,5/12/26 14:43:43,anonymous,,,S,SWHS,Good,09,Soccer;,Usafa ,Ms behr ,Cheese quesadilla ,Mint chocolate ,Drake ,Myseld ,Own lunch,History;Math;Art;English;Science;Foreign Language;Music;,3.5-4,Sports ,500,Look at it,Lie,Red,When the height is double the width or more,Ask a friend,Lizard
53,5/12/26 14:57:30,5/12/26 15:04:29,anonymous,,,S,SWHS,Good,10,No;,UF,Mr. Mitchell,Sushi,Strawberry,Kurt Cobain,Picasso,Own lunch,Music;History;Science;Art;Foreign Language;English;Math;,3-3.5,Guitar,6,Don't look at it,Lie,Red,When the height is double the width or more,Ask a friend,Goldfish
54,5/12/26 15:00:14,5/12/26 15:05:26,anonymous,,,n,SWHS,Poor,10,No;,FSU,n/a,noodles,vanilla,stamatis spanoudakis,n/a,Own lunch,History;Music;Math;Art;Science;English;Foreign Language;,3.5-4,hiking,0,Warn the teacher about the answer key,Lie,Red,When the height is double the width or more,Ask a friend,Embrace uncertainty and flee
55,5/12/26 14:55:51,5/12/26 15:08:01,anonymous,,,ER,SWHS,Very good,10,No;,scad,Mr Mitchell or Mrs.Ellis,Sushi,Mint chocolate chip or cotton candy ,Beanadoobeee,Hmm idkk,School lunch,Music;Art;English;History;Foreign Language;Math;Science;,3-3.5,Playing flute and sewing,25,Look at it,Tell the truth,Red,When the height is the width or more,Go to a copy shop,Lizard
56,5/12/26 18:08:50,5/12/26 18:16:02,anonymous,,,G,SWHS,Very good,09,Hockey;,Florida state,Mr.borthwick and Mrs. Kennet,Pasta,Mint chocolate chip,"The neighborhood, lil peep and melanie martinez ",H.R Giger and Francis bacon,School lunch,Art;Foreign Language;English;Science;History;Music;Math;,3.5-4,Poetry ,53,Look at it,Tell the truth,Blue,When the height is double the width or more,Go to a copy shop,Lizard
57,5/13/26 9:41:11,5/13/26 9:46:09,anonymous,,,Q,SWHS,Good,09,Basketball;,SMU,Coach crews,Chicken wings,Birthday cake,Ken carson,Picasso,Own lunch,History;Math;Foreign Language;Music;Art;Science;English;,3.5-4,Basketball,67,Don't look at it,Tell the truth,Blue,When the height is the width or more,Ask a friend,Goldfish
58,5/13/26 9:41:13,5/13/26 9:47:27,anonymous,,,R,SWHS,Very good,09,Basketball;,UCLA,ms behr,bagel,mint chocolate chip,Olivia Rodrigo,Picasso,Own lunch,Math;History;Art;English;Music;Science;Foreign Language;,4-4.5,sports,50,Look at it,Lie,Blue,When the height is double the width or more,Go to a copy shop,Goldfish
59,5/13/26 9:54:56,5/13/26 9:58:57,anonymous,,,J,SWHS,Good,11,Football;Soccer;,FSU/community college ,Mrs. Ward ,i don't have one,Raspberry/strawberry ,Oney1,I don't have one ,School lunch,Art;History;Math;Science;Foreign Language;English;Music;,2.5-3,sports,10,Warn the teacher about the answer key,Lie,Blue,When the height is double the width or more,Go to a copy shop,Goldfish
60,5/13/26 14:48:49,5/13/26 14:54:52,anonymous,,,M,SWHS,Garbage,09,No;,FSU ,Coach McKenzie ,Pate,Pumpkin ,Rod wave ,Picasso ,Own lunch,Art;English;Science;History;Music;Foreign Language;Math;,3-3.5,Piano ,4823,Snatch it,Lie,Blue,When the height is half the width or more,Ask a friend,All of them
62,5/13/26 14:52:53,5/13/26 14:56:04,anonymous,,,J,SWHS,Very good,09,Soccer;,Ectc,Mrs hedges ,Pizza ,Chocolate ,Drake ,Johnny sins ,School lunch,Math;English;Science;History;Foreign Language;Music;Art;,Prefer not to answer,Play soccer ,20,Don't look at it,Tell the truth,Blue,When the height is the width or more,Ask a friend,Embrace uncertainty and flee
63,5/13/26 14:52:38,5/13/26 14:58:26,anonymous,,,J,SWHS,Very good,09,Soccer;,Ectc,mrs: hedges,Chick fill A ,cookies and cream ,Lil Tony ,Jake Gyllenhaal,School lunch,Math;Science;History;Art;Foreign Language;Music;English;,2.5-3,Soccer ,15,Warn the teacher about the answer key,Tell the truth,Blue,When the height is double the width or more,Ask the teacher for an extension on the project,Lizard
64,5/13/26 14:50:24,5/13/26 14:58:57,anonymous,,,K,SWHS,Fair,10,No;,"None or Colby College in Waterville, Maine",Mr. Niehaus,Steak,Chocolate,Cosmo Sheldrake,Monet,Own lunch,Art;Music;Foreign Language;History;Math;English;Science;,4-4.5,Games and art,3,Don't look at it,Lie,Blue,When the height is half the width or more,Ask a friend,Beetle
65,5/14/26 7:47:46,5/14/26 7:50:54,anonymous,,,Jonah ,SWHS,Good,10,Lacrosse;,FSU ,Smith,Birrra street tacos ,Coffee,Slightly stoopid ,Idk any ,Own lunch,History;Math;English;Science;Foreign Language;Music;Art;,2.5-3,Golf,30,Don't look at it,Lie,Red,When the height is double the width or more,Ask a friend,Goldfish
66,5/14/26 7:47:44,5/14/26 7:52:26,anonymous,,,W,SWHS,Very good,09,No;,None (yet),Miss Kennet,Little Caesar's ,Cookies and Cream,TOOL,TOOL are visual artists in there music videos ,School lunch,Science;Music;English;Math;Foreign Language;History;Art;,Prefer not to answer,Gaming wit da bois????????,15,Snatch it,Tell the truth,Red,When the height is the width or more,Unleash fury on the printer,Lizard
67,5/14/26 7:47:44,5/14/26 7:52:52,anonymous,,,C,SWHS,Fair,10,Soccer;,FSU,McCown,Burger,Mint chocolate chip ,drake,picasso,School lunch,History;English;Math;Science;Foreign Language;Art;Music;,4-4.5,Fishing,15,Look at it,Tell the truth,Red,When the height is half the width or more,Unleash fury on the printer,Embrace uncertainty and flee
68,5/14/26 7:47:57,5/14/26 7:54:22,anonymous,,,M,SWHS,Good,10,Football;Basketball;,Oregon,Mr.mccown ,Chicken Alfredo ,Strawberry ,NBA youngboy ,None,Own lunch,Math;Science;English;Foreign Language;Art;History;Music;,3.5-4,Football,7,Look at it,Lie,Blue,When the height is the width or more,Ask the teacher for an extension on the project,All of them
69,5/14/26 7:49:16,5/14/26 8:13:20,anonymous,,,K,SWHS,Good,09,No;,None,Kennett,Pizza,Mint ,Billie Ellish,Van gogh,School lunch,Music;Art;Foreign Language;History;English;Science;Math;,3.5-4,Reading ,5,Warn the teacher about the answer key,Tell the truth,Red,When the height is the width or more,Go to a copy shop,Goldfish
70,5/14/26 21:33:10,5/14/26 21:38:01,anonymous,,,H,SWHS,Good,11,No;,None,Reagan Ward,The menudo,Angel kiss,Luis Miguel,Frida Kahlo ,School lunch,Math;Science;History;Foreign Language;Art;English;Music;,3.5-4,Eat,6,Look at it,Lie,Blue,When the height is the width or more,Ask the teacher for an extension on the project,Goldfish
